institutionCode,collectionCode,catalogNumber,occurrenceID,eventDate,decimalLongitude,decimalLatitude,scientificName,scientificNameID,occurrenceStatus,basisOfRecord
EPA,Combined Till99 & Yaq98 Ferraro Benthic Macrofauna,1,EPA - Combined Till99 & Yaq98 Ferraro Benthic Macrofauna - 1,89-07-01,-124.03228761071588,44.62007332721581,Clinocardium nuttalli,381980,present,HumanObservation
EPA,Combined Till99 & Yaq98 Ferraro Benthic Macrofauna,2,EPA - Combined Till99 & Yaq98 Ferraro Benthic Macrofauna - 2,89-07-01,-124.00350381048973,44.61527947711245,Clinocardium nuttalli,381980,present,HumanObservation
EPA,Combined Till99 & Yaq98 Ferraro Benthic Macrofauna,3,EPA - Combined Till99 & Yaq98 Ferraro Benthic Macrofauna - 3,89-07-01,-124.03595409127324,44.615025727396386,Clinocardium nuttalli,381980,present,HumanObservation
EPA,Combined Till99 & Yaq98 Ferraro Benthic Macrofauna,4,EPA - Combined Till99 & Yaq98 Ferraro Benthic Macrofauna - 4,89-07-01,-124.0191346551042,44.61756273119201,Clinocardium nuttalli,381980,present,HumanObservation
EPA,Combined Till99 & Yaq98 Ferraro Benthic Macrofauna,5,EPA - Combined Till99 & Yaq98 Ferraro Benthic Macrofauna - 5,89-07-01,-124.03228761071588,44.62007332721581,Clinocardium nuttalli,381980,present,HumanObservation
EPA,Combined Till99 & Yaq98 Ferraro Benthic Macrofauna,6,EPA - Combined Till99 & Yaq98 Ferraro Benthic Macrofauna - 6,89-07-01,-124.00350381048973,44.61527947711245,Clinocardium nuttalli,381980,present,HumanObservation
EPA,Combined Till99 & Yaq98 Ferraro Benthic Macrofauna,7,EPA - Combined Till99 & Yaq98 Ferraro Benthic Macrofauna - 7,89-07-01,-124.03595409127324,44.615025727396386,Clinocardium nuttalli,381980,present,HumanObservation
EPA,Combined Till99 & Yaq98 Ferraro Benthic Macrofauna,8,EPA - Combined Till99 & Yaq98 Ferraro Benthic Macrofauna - 8,89-07-01,-124.0191346551042,44.61756273119201,Clinocardium nuttalli,381980,present,HumanObservation
EPA,Combined Till99 & Yaq98 Ferraro Benthic Macrofauna,9,EPA - Combined Till99 & Yaq98 Ferraro Benthic Macrofauna - 9,89-07-01,-124.03228761071588,44.62007332721581,Cylichna attonsa,581401,present,HumanObservation
EPA,Combined Till99 & Yaq98 Ferraro Benthic Macrofauna,10,EPA - Combined Till99 & Yaq98 Ferraro Benthic Macrofauna - 10,89-07-01,-124.00350381048973,44.61527947711245,Cylichna attonsa,581401,present,HumanObservation
EPA,Combined Till99 & Yaq98 Ferraro Benthic Macrofauna,11,EPA - Combined Till99 & Yaq98 Ferraro Benthic Macrofauna - 11,89-07-01,-124.03595409127324,44.615025727396386,Cylichna attonsa,581401,present,HumanObservation
EPA,Combined Till99 & Yaq98 Ferraro Benthic Macrofauna,12,EPA - Combined Till99 & Yaq98 Ferraro Benthic Macrofauna - 12,89-07-01,-124.0191346551042,44.61756273119201,Cylichna attonsa,581401,present,HumanObservation
EPA,Combined Till99 & Yaq98 Ferraro Benthic Macrofauna,13,EPA - Combined Till99 & Yaq98 Ferraro Benthic Macrofauna - 13,89-07-01,-124.03228761071588,44.62007332721581,Glycera americana,157388,present,HumanObservation
EPA,Combined Till99 & Yaq98 Ferraro Benthic Macrofauna,14,EPA - Combined Till99 & Yaq98 Ferraro Benthic Macrofauna - 14,89-07-01,-124.00350381048973,44.61527947711245,Glycera americana,157388,present,HumanObservation
EPA,Combined Till99 & Yaq98 Ferraro Benthic Macrofauna,15,EPA - Combined Till99 & Yaq98 Ferraro Benthic Macrofauna - 15,89-07-01,-124.03595409127324,44.615025727396386,Glycera americana,157388,present,HumanObservation
EPA,Combined Till99 & Yaq98 Ferraro Benthic Macrofauna,16,EPA - Combined Till99 & Yaq98 Ferraro Benthic Macrofauna - 16,89-07-01,-124.0191346551042,44.61756273119201,Glycera americana,157388,present,HumanObservation
EPA,Combined Till99 & Yaq98 Ferraro Benthic Macrofauna,17,EPA - Combined Till99 & Yaq98 Ferraro Benthic Macrofauna - 17,89-07-01,-124.03228761071588,44.62007332721581,Glycinde armigera,240633,present,HumanObservation
EPA,Combined Till99 & Yaq98 Ferraro Benthic Macrofauna,18,EPA - Combined Till99 & Yaq98 Ferraro Benthic Macrofauna - 18,89-07-01,-124.00350381048973,44.61527947711245,Glycinde armigera,240633,present,HumanObservation
EPA,Combined Till99 & Yaq98 Ferraro Benthic Macrofauna,19,EPA - Combined Till99 & Yaq98 Ferraro Benthic Macrofauna - 19,89-07-01,-124.03595409127324,44.615025727396386,Glycinde armigera,240633,present,HumanObservation
EPA,Combined Till99 & Yaq98 Ferraro Benthic Macrofauna,20,EPA - Combined Till99 & Yaq98 Ferraro Benthic Macrofauna - 20,89-07-01,-124.0191346551042,44.61756273119201,Glycinde armigera,240633,present,HumanObservation
EPA,Combined Till99 & Yaq98 Ferraro Benthic Macrofauna,21,EPA - Combined Till99 & Yaq98 Ferraro Benthic Macrofauna - 21,89-07-01,-124.03228761071588,44.62007332721581,Glycinde polygnatha,240626,present,HumanObservation
EPA,Combined Till99 & Yaq98 Ferraro Benthic Macrofauna,22,EPA - Combined Till99 & Yaq98 Ferraro Benthic Macrofauna - 22,89-07-01,-124.00350381048973,44.61527947711245,Glycinde polygnatha,240626,present,HumanObservation
EPA,Combined Till99 & Yaq98 Ferraro Benthic Macrofauna,23,EPA - Combined Till99 & Yaq98 Ferraro Benthic Macrofauna - 23,89-07-01,-124.03595409127324,44.615025727396386,Glycinde polygnatha,240626,present,HumanObservation
EPA,Combined Till99 & Yaq98 Ferraro Benthic Macrofauna,24,EPA - Combined Till99 & Yaq98 Ferraro Benthic Macrofauna - 24,89-07-01,-124.0191346551042,44.61756273119201,Glycinde polygnatha,240626,present,HumanObservation
EPA,Combined Till99 & Yaq98 Ferraro Benthic Macrofauna,25,EPA - Combined Till99 & Yaq98 Ferraro Benthic Macrofauna - 25,89-07-01,-124.03228761071588,44.62007332721581,Mactromeris polynyma,156863,present,HumanObservation
EPA,Combined Till99 & Yaq98 Ferraro Benthic Macrofauna,26,EPA - Combined Till99 & Yaq98 Ferraro Benthic Macrofauna - 26,89-07-01,-124.00350381048973,44.61527947711245,Mactromeris polynyma,156863,present,HumanObservation
