StationID,State,Estuary,Habitat,Station,lon,lat,geometry
S8J01,Oregon,Yaquina Bay,C,1,-124.03228761071588,44.62007332721581,"c(-124.032287610716, 44.6200733272158)"
S8J01,Oregon,Yaquina Bay,N,1,-124.00350381048973,44.61527947711245,"c(-124.00350381049, 44.6152794771125)"
S8J01,Oregon,Yaquina Bay,U,1,-124.03595409127324,44.615025727396386,"c(-124.035954091273, 44.6150257273964)"
S8J01,Oregon,Yaquina Bay,Z,1,-124.0191346551042,44.61756273119201,"c(-124.019134655104, 44.617562731192)"
S8J02,Oregon,Yaquina Bay,C,2,-124.01958172347614,44.61502003193083,"c(-124.019581723476, 44.6150200319308)"
S8J02,Oregon,Yaquina Bay,N,2,-124.04239879297977,44.61948634304918,"c(-124.04239879298, 44.6194863430492)"
S8J02,Oregon,Yaquina Bay,U,2,-124.0071951888856,44.57726524599502,"c(-124.007195188886, 44.577265245995)"
S8J02,Oregon,Yaquina Bay,Z,2,-124.01384874817856,44.612946478358616,"c(-124.013848748179, 44.6129464783586)"
S8J03,Oregon,Yaquina Bay,C,3,-124.01391714600052,44.579204335114866,"c(-124.013917146001, 44.5792043351149)"
S8J03,Oregon,Yaquina Bay,N,3,-124.022234389056,44.62828401497142,"c(-124.022234389056, 44.6282840149714)"
S8J03,Oregon,Yaquina Bay,U,3,-124.0165510276589,44.62046656150915,"c(-124.016551027659, 44.6204665615091)"
S8J03,Oregon,Yaquina Bay,Z,3,-124.02287850765615,44.62332687335107,"c(-124.022878507656, 44.6233268733511)"
S8J04,Oregon,Yaquina Bay,C,4,-124.01966906931332,44.58975814065373,"c(-124.019669069313, 44.5897581406537)"
S8J04,Oregon,Yaquina Bay,M,4,-124.03749118835336,44.62065634707497,"c(-124.037491188353, 44.620656347075)"
S8J04,Oregon,Yaquina Bay,N,4,-124.0450056196136,44.617950097011125,"c(-124.045005619614, 44.6179500970111)"
S8J04,Oregon,Yaquina Bay,U,4,-124.01345866959647,44.61805436647822,"c(-124.013458669596, 44.6180543664782)"
S8J04,Oregon,Yaquina Bay,Z,4,-124.0143355186714,44.60398464320307,"c(-124.014335518671, 44.6039846432031)"
S8J05,Oregon,Yaquina Bay,C,5,-124.05436195603338,44.62721769582957,"c(-124.054361956033, 44.6272176958296)"
S8J05,Oregon,Yaquina Bay,M,5,-124.04435774414567,44.624698899430825,"c(-124.044357744146, 44.6246988994308)"
S8J05,Oregon,Yaquina Bay,N,5,-124.02770903441407,44.6020375612235,"c(-124.027709034414, 44.6020375612235)"
S8J06,Oregon,Yaquina Bay,C,6,-124.01786700332862,44.6128207090517,"c(-124.017867003329, 44.6128207090517)"
S8J06,Oregon,Yaquina Bay,U,6,-124.02659522831598,44.609627708379556,"c(-124.026595228316, 44.6096277083796)"
S8J06,Oregon,Yaquina Bay,Z,6,-124.01588506604212,44.621309720715466,"c(-124.015885066042, 44.6213097207155)"
S8J07,Oregon,Yaquina Bay,N,7,-124.00762862034037,44.62421865766108,"c(-124.00762862034, 44.6242186576611)"
S8J07,Oregon,Yaquina Bay,U,7,-124.02659522831598,44.609627708379556,"c(-124.026595228316, 44.6096277083796)"
